ID;Airports;Periods;CrossCountryFlights_1;LocalFlights_2;TotalFlights_3;TotalPassengers_12;EUCountries_23;Africa_26;Asia_36;Oceania_40;TotalCargo_43;TotalLoadedCargo_49;EUCountries_54;Africa_57;America_63;Asia_67;Oceania_71;TotalMail_74;EUCountries_85;Africa_88;America_94;Asia_98
0;A045844;1997JJ00;467579;206214;400118;32074513;17658777;1223391;3379017;97868;1196780;600859;119747;93675;381178;528278;11590;       .;       .;       .;       .;       .
1;A045844;1998JJ00;485852;201265;425608;35129029;19613702;1293242;3680895;107847;1201848;607882;121133;98492;400245;515841;10444;       .;       .;       .;       .;       .
2;A045844;1999MM01;36810;14868;33145;2439980;1317817;113309;298997;8776;90604;41962;8624;8696;29297;39331;589;       .;       .;       .;       .;       .
3;A045844;1999MM02;34356;11314;30912;2405830;1365968;107207;274295;7226;97527;46866;9235;8511;32391;42294;661;       .;       .;       .;       .;       .
4;A045844;1999MM03;41290;18152;35591;2905023;1630143;117193;330139;8318;111940;54824;10503;9409;36892;49245;944;       .;       .;       .;       .;       .
6;A045844;1999MM04;41338;18043;35832;2983754;1707582;111309;331128;7504;100280;49094;9639;8136;32595;44965;627;       .;       .;       .;       .;       .
7;A045844;1999MM05;44679;18932;38376;3399339;1996034;111085;326257;6873;100009;50048;10678;8201;33309;42209;897;       .;       .;       .;       .;       .
8;A045844;1999MM06;44664;19476;37971;3357773;1928122;110111;314288;7428;95558;49666;10377;6604;32334;41159;640;       .;       .;       .;       .;       .
10;A045844;1999MM07;46107;18988;39824;3753435;2084124;145286;365967;8599;98533;52549;10493;6634;33913;42478;691;       .;       .;       .;       .;       .
11;A045844;1999MM08;45084;18732;39908;3850371;2106132;150400;395456;9011;92694;48898;10332;6539;32220;38873;792;       .;       .;       .;       .;       .
12;A045844;1999MM09;44734;18298;38969;3610066;2081781;134339;350160;8218;97920;50716;11247;8204;32752;40808;618;       .;       .;       .;       .;       .
14;A045844;1999MM10;44734;15909;39553;3577374;2026668;137098;374954;8393;110933;56593;11502;9730;37226;46322;801;       .;       .;       .;       .;       .
15;A045844;1999MM11;41721;15551;37387;2889913;1614143;123495;335969;7669;110855;55749;9317;10475;35210;49108;1031;       .;       .;       .;       .;       .
